TotalProfitPMM,DifferenceInIRAPMM
13.32940546,18.77066226
#DIV/0!,#DIV/0!
4.343859649,#DIV/0!
#DIV/0!,#DIV/0!
6.496712864,0
#DIV/0!,#DIV/0!
9.003556275,-46.77900919
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
1.291666667,0
43.31594444,0
#DIV/0!,#DIV/0!
69.40539838,-4.194769485
230.8242857,46.25003996
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
8.900758822,113.6985142
836.5703226,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-467.9868781,-26.35200672
-344.5134375,0
#DIV/0!,#DIV/0!
104.065562,0
-1670.025934,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
188.7872892,0
-22.63458333,#DIV/0!
11.36925,0
12.60611029,15.15275569
-112.4177594,1.822008531
213.3333333,0
#DIV/0!,#DIV/0!
-69.55470944,0
10.94277567,5.313073472
#DIV/0!,#DIV/0!
-365.9005682,0
3.788915889,13.81054269
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
87.4044617,0
-1899.932561,0
-48.18272171,0
19.26931698,-16.83075412
#DIV/0!,#DIV/0!
-13.11993213,-19.49693399
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-389.1492868,0
#DIV/0!,#DIV/0!
-1352.479634,#DIV/0!
#DIV/0!,#DIV/0!
54.16666667,0
-862.1470833,0
#DIV/0!,#DIV/0!
-128.7068063,0
5.738218693,-71.59156154
-2.373938574,150.0552941
0,#DIV/0!
-37.16074104,45.34594352
8.990961183,92.41663313
9.458333333,0
150.915443,0
#DIV/0!,#DIV/0!
-1038.776771,133.3300822
#DIV/0!,#DIV/0!
-1.765522568,-39.33060007
-11478,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
282.0181269,0
41.68075035,79.92574061
53.82443828,-50.88257952
205.1256983,#DIV/0!
#DIV/0!,#DIV/0!
38.97468154,27.52207385
-538.8536585,0
4.101832712,2.499683538
-45.67021277,0
-780.9883654,-48.84219158
66.48657587,0
283.0458428,#DIV/0!
119.2899236,0
0.214325801,87.39230147
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
318.5865734,0
#DIV/0!,#DIV/0!
-4553.558442,-740.7287608
67.34251337,0
4.491273517,75.24195056
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
220.9193526,0
104.3738778,0
195.4990792,0
4.0666585,-102.330518
#DIV/0!,#DIV/0!
29.41805939,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
13.47931623,-16.39705589
222.221519,0
#DIV/0!,#DIV/0!
-427.5909091,0
-28.89643879,0
-3208.565421,0
57.06708333,0
#DIV/0!,#DIV/0!
-81.72093023,0
-10.58835475,-3.918289581
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
13.66465588,0
-179.7234848,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
27626.23263,-78.27694985
18.55499497,-2.125675245
-127.510721,167.2974485
2887.5,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
111.1283508,0
#DIV/0!,#DIV/0!
-2481.593407,0
#DIV/0!,#DIV/0!
-75.5396081,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
122.9894203,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
46.64795164,-126.6213855
12.48285073,-23.98221564
0.560786188,0
#DIV/0!,#DIV/0!
1352.037692,0
173.2533435,0
-22.74588939,0
#DIV/0!,#DIV/0!
